./Knigi/[Mikroprocessorniy_komplekt_KM1804_(1)].djvu,DjVu,Справочник,Микропроцессорный комплект серии КМ1804,"организация эвм, курсовик",10267k
./Knigi/[Mikroprocessorniy_komplekt_KM1804_(2)].djvu,DjVu,Справочник,Микропроцессорный комплект серии КМ1804. Рекомендации по применению.,"организация эвм, курсовик",10267k
./Knigi/[Myshenkov][Chislennyye_metody_1].pdf,PDF,Учебное пособие,"Мышенков В.И., Мышенков Е.В. Численные методы. Часть первая.",вычислительная математика,10267k
./Knigi/[][PDP-11_Instruction_Set].html,HTML,Справочник,PDP-11 Instruction Set,"см эвм, ассемблер, организация эвм",10267k
./Knigi/[Richter_J][Programming_Applications_for_MS_Windows].chm,Compiled HTML,Книга,Jeffrey Richter. Programming Applications for Microsoft Windows,"винда, программирование",10267k
./Knigi/[][Shpory_po_TAU].pdf,PDF,Шпаргалка,Шпоры по Теории автоматического управления,"тау, оту",10267k
./Knigi/[Uritskaya][Lektsii_po_TPR].pdf,PDF,Лекции,Урицкая О.Ю. Теория принятия решений: Курс лекций.,тпр,10267k
./Knigi/[][99_Mikroprocessornye_sistemy_1].pdf,PDF,Лекции,Микропроцессорные системы,организация эвм,10267k
./Knigi/[Gruber][Ponimanie_SQL].pdf,PDF,Книга,Мартин Грубер. Понимание SQL.,"ужасный перевод, базы данных",10267k
./Knigi/[Karpova][Bazy_Dannyh_1-7].djvu,DjVu,Книга,"Карпова Т. Базы данных: Модели, разработка, реализация.",sql,10267k
./Knigi/[][Lektsii_po_OEVM].pdf,PDF,Лекции,Лекции по Организации ЭВМ,автор неизвестен,10267k
./Knigi/[Shnitman][Sovremenniye_vysokoproizvoditelniye_kompyutery].zip,Zip + HTML,Книга,Шнитман В. Современные высокопроизводительные компьютеры.,организация эвм,10267k
./Knigi/[][Shpory_po_OEVM].doc,MS Word 8.0,Шпаргалка,Шпоры по Организации ЭВМ,автор неизвестен,10267k
./Knigi/[][IEEE-754_Floating-Point_Numbers].html,HTML,Статья,IEEE Standard 754 Floating Point Numbers,плавающая точка,10267k
./Knigi/[Klinachyov][Lektsii_po_OTU].zip,Zip + HTML,Лекции,Клиначёв Н.В. Теория систем автоматического регулирования,"оту, тау, теория управления",10267k
./Metodichki/[Burlakov][Otechestvennaya_istoriya].pdf,PDF,Учебно-методическое пособие,"Бурлаков А.И., Гуляева В.В., Усачев В.Ф. Отечественная история.",методичка,7395k
./Metodichki/[Dubrovin][Tipovye_raschety].djvu,DjVu,Задания,Задания к типовым расчетам по математике; Сост. Н.И. Дубровин.,"типовик, методичка, вышка",7395k
./Metodichki/[Ivankov_Muranov][Tipovye_po_teorveru].djvu,DjVu,Задания,"Сборник индивидуальных заданий по теории вероятностей: типовые расчеты / П.Л. Иванков, Ю.В. Муранов.","теорвер, типовик, методичка",7395k
./Metodichki/[Kuznetsov][Laby_po_electrichestvu].djvu,DjVu,Методические указания,"Лабораторный практикум по физике. Электростатика и постоянный ток / О.Я. Бутковский, О.Д. Бухарова, А.А. Кузнецов.","лабы, методичка",7395k
./Metodichki/[Pleshivtsev][Laby_po_electrichestvu].djvu,DjVu,Методические указания,"Электростатика, электромагнетизм, электромагнитные колебания и волны: Метод. указания к лабораторным занятиям по физике / Сост. Л.В. Грунская, В.П. Кондаков, В.Н. Кунин, В.С. Плешивцев, А.А. Шишелов.",методичка,7395k
./Metodichki/[Mosin][Laby_po_electronike].pdf,PDF,Методические указания,Электроника и микроэлектроника: Метод. указания к лабораторным работам / Сост. С.Г. Мосин.,методичка,7395k
./Metodichki/[Grigoryeva_Prokoshev][Metodichka_k_labam_po_fizike_tverdogo_tela].pdf,PDF,Методические указания,"Метод. указания к лабораторным работам по физике. Физика твердого тела / Сост.: Е.В. Григорьева, В.Г. Прокошев, Н.С. Прокошева, С.И. Шишин.",методичка,7395k
./Metodichki/[Kunin_Pak][Programma_po_fizike].pdf,PDF,Программа,"Программа по физике: механика, основы молекулярной физики и термодинамики, электричество и магнетизм, колебания и волны, оптика. / Сост.: Кунин В.Н., Пак К.И.",методичка,7395k
./Metodichki/[Pleshivtsev][Ekzamenatsionnye_voprosy_i_zadachi_po_fizike].pdf,PDF,Методические указания,Плешивцев В.С. Экзаменационные вопросы и задачи по курсу физики.,методичка,7395k
./Metodichki/[Prokoshev][Laby_po_fizike_atomov_i_molekul].pdf,PDF,Методические указания,"Метод. указания к лабораторным работам по физике. Физика атомов и молекул / Сост.: В.Г. Прокошев, Н.С. Прокошева, Т.В. Скоробогатова, С.И. Шишин.",методичка,7395k
./Metodichki/[Kirillova][Laby_po_vychislitelnoy_matematike].zip,Zip + PDF + MathCAD,Методические указания,Метод. указания к лабораторным работам по вычислительной математике. / Сост.: Кириллова С.Ю.,методичка,7395k
./Metodichki/[Sorokina][Tipoviki_po_integralam_difuram].djvu,DjVu,Задания,"Задания к типовым расчетам по математике. Неопределенный интеграл, определенный интеграл, дифференциальные уравнения / Сост.: А.Г. Сорокина, А.Г. Беспалова, М.С. Беспалов.","методичка, типовик, матан, вышка",7395k
./Metodichki/[Davydova][Tipoviki_po_krivolineynym_integralam].djvu,DjVu,Задания,"Кратные и криволинейные интегралы и теория поля: Задания к типовым расчетам по высшей математике / Сост.: Л.В. Давыдова, В.Я. Овечкин, М.А. Шепилов.","методичка, типовик, матан, вышка",7395k
./Metodichki/[Zhigalov][Mashinnaya_grafika_dlya_IBMPC].zip,Zip + Plain text,Методические указания,Машинная графика для IBM PC: практикум / И.Е. Жигалов.,"методичка, компьютерная графика",7395k
./Metodichki/[Bulankin][84_Teoria_i_proektirovanie_EVM_i_sistem].djvu,DjVu,Методические указания,Буланкин В.Б. Теория и проектирования ЭВМ и систем: Метод. указания к курсовому проекту.,"методичка, организация эвм, курсовик",7395k
./Metodichki/[Bulankin][97_Proektirovanie_processorov_EVM_na_sektsionirovannyh_MP].djvu,DjVu,Методические указания,"Проектирование процессоров ЭВМ на секционированных микропроцессорах: Метод. указания к курсовому проектированию / Сост.: В.Б. Буланкин, Т.А. Луценко.","методичка, организация эвм, курсовик",7395k
./Metodichki/[Bulankin][93_Modelirovanie_raboty_MP_na_MPS_laby].txt,Plain text,Методические указания,"Моделирование работы процессора на секционированных микропроцессорах: Метод. указания к лаб. работам / Сост.: В.Б. Буланкин, Т.А. Луценко.","методичка, лабы, организация эвм",7395k
./Metodichki/[Bulankin][93_Modelirovanie_raboty_MP_na_MPS_laby].djvu,DjVu,Методические указания,"Моделирование работы процессора на секционированных микропроцессорах: Метод. указания к лаб. работам / Сост.: В.Б. Буланкин, Т.А. Луценко.","методичка, лабы, организация эвм",7395k
./Rukopisi/[Bulankina][Lektsii_po_teorveru].djvu,DjVu,Лекции,Лекции по теории вероятностей,"рукопись, теорвер",1371k
./Rukopisi/[Pleshivtsev][Reshennye_zadachi].djvu,DjVu,Задачи,Решенные задачи из сборника экзаменационных вопросов и задач Плешивцева В.С.,"рукопись, физика",1371k
./Rukopisi/[Romanov][Lektsii_po_teorii_avtomatov].djvu,DjVu,Лекции,Лекции по теории автоматов.,"рукопись, романов",1371k
./Rukopisi/[Romanov][Praktika_po_teorii_avtomatov].djvu,DjVu,Практика,Практика по теории автоматов,"рукопись, романов",1371k
./Rukopisi/[Barkov][SPO_OS].djvu,DjVu,Лекции,Лекции по СПО и ОС,"рукопись, барков",1371k
./Rukopisi/[][Lektsii_po_matematike_3sem].djvu,DjVu,Лекции,Лекции по высшей математике,"рукопись, матан, вышка",1371k
./Programmy/Cifrovaya_shemotehnika.rar,RAR2 + Windows executable,Программное обеспечение,Макет установки для выполнения лабораторных работ по цифровой схемотехнике.,лабы,919k
./Programmy/OTU.zip,Zip + DOS executable,Программное обеспечение,Расчеты в теории управления.,"лабы, тау, оту",919k
./Programmy/OEVM.zip,Zip + DOS executable,Программное обеспечение,"Эмулятор учебного универсального микропрограммируемого микропроцессора, совместимого с СМ ЭВМ (PDP-11).",лабы,919k
./Raboty/Kursovoy_OEVM/10.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 10.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/17.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 17.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/18.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 18.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/18a.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 18.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/18b.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 18.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/21.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 21.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/22.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 22.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/23.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 23.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/27.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 27.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/29.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 29.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/51.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 51.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
./Raboty/Kursovoy_OEVM/59.zip,Zip + MS Word + MS Visio,Курсовой проект,Курсовой проект по Организации ЭВМ. Вариант 59.,"курсовик, оэвм, аэвм, пояснительная записка",12438k
